,Table 2. Networking Assets,,
,IFC Property Set,ATTRIBUTE NAME,EXAMPLE
,Project Level,DISTRICT,Far North
,,ASSET OWNER,TMR
,,DATUM,GDA2020
,,COORDINATE YEAR,2021
,,ROAD ID,M1
,,PROJECT NUMBER,200/U19/20
,Design,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-NETFWD-0001
,,SUBURB,CAIRNS
,,ROAD NAME ,Bruce Highway
,,SITE_ID,MC1A0_M1
,,ASSET NUMBER ONSITE,P1245122
,,ROAR ASSET TYPE,NETFWD - Fixed Wireless Device
,,LATITUDE OF ASSET,-27.7914092
,,LONGITUDE OF ASSET,153.0159662
,,MOUNTING HEIGHT (m),10.5
,,PLAN OR DRAWING NUMBERS,810174 - 810176
,,PARENT ENCLOSURE ID,TSC186718
,,POINT OF SUPPLY,U785412
,,MOUNTING STRUCTURE ID,POLE111230
,,CHANNEL FREQUENCY (MHz),20
,,CHANNEL SIZE (MHz),1050
,,RECEIVER (RX) POWER (dBm),20
,,TRANSMIT (TX) POWER (dBm),20
,,MAX DATA RATE AGGREGATE (Mbps),130
,,ANTENNA TYPE,Patch
,,NETWORK SERVER TYPE,N/A
,,POWER CONSUMPTION (W),300
,,DESIGN VERIFIED BY,John Citizen 15911
,,DESIGN VERIFIED DATE,2021-05-20 00:00:00
,,ACMA LICENSE,Unlicensed
,,MODEL IS CERTIFIED ISSUED FOR CONSTRUCTION (RPEQ),Jane Citizen - 12346
,Construction,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-NETFWD-0001
,,INSTALLATION DATE,44249
,,INSTALLED BY,John Citizen
,,"MODEL IS CERTIFIED AS-CONSTRUCTED 
(NAME + SURVEYORS ACCREDITATION)",Jane Citizen - Reg Surv 3322
,,COMMISSIONING DATE,2022-05-21 00:00:00
,,COMMISSIONED BY,John Citizen
,,NETWORK,FLIR
,,IP ADDRESS,10.255.99.99
,,ASSET INSTALLATION COST,600
,,SOFTWARE VERSION,12.1
,,FIRMWARE VERSION,1577.874
,,COMMENTS,20/4/21 Climatic environment restricted access
,,MANUFACTURER NAME,Cambium Networks
,,MODEL,PMP 450 AP
,,SUPPLIER NAME,Cambium Networks
,,SERIAL NUMBER,M9WC0D69NTWN
,,ASSET PURCHASE COST,800
,,DATE RECEIVED,40452
,Asset Management,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-POWSOL-0001
,,ASSET_ID,NETFWD436779
,,OPERATIONAL STATUS,PROPOSED
,,OPERATIONAL DATE,2020-04-20 00:00:00
,,WARRANTY PERIOD (MONTHS),24
,,MAINTENANCE INTERVAL (MONTHS),12
